split,strategy,contract_title,contract_words,chunk_count,span_count,covered_span_count,span_coverage
train,fixed_300_no_overlap,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT,1762,6,13,11,0.8461538461538461
train,fixed_300_no_overlap,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,33705,113,78,59,0.7564102564102564
train,fixed_300_no_overlap,PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement,2306,8,19,19,1.0
train,fixed_300_no_overlap,LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT,2351,8,20,19,0.95
train,fixed_300_no_overlap,UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2,3740,13,28,19,0.6785714285714286
train,fixed_300_no_overlap,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,2709,10,11,11,1.0
train,fixed_300_no_overlap,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,6920,24,38,32,0.8421052631578947
train,fixed_300_no_overlap,"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement",11308,38,33,31,0.9393939393939394
train,fixed_300_no_overlap,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",903,4,10,10,1.0
train,fixed_300_no_overlap,PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement,10661,36,35,25,0.7142857142857143
train,fixed_300_no_overlap,SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,14158,48,34,26,0.7647058823529411
train,fixed_300_no_overlap,MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT,25333,85,51,43,0.8431372549019608
train,fixed_300_no_overlap,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,5880,20,22,18,0.8181818181818182
train,fixed_300_no_overlap,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,2438,9,27,24,0.8888888888888888
train,fixed_300_no_overlap,ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,12396,42,25,24,0.96
train,fixed_300_no_overlap,PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement,10213,35,23,18,0.782608695652174
train,fixed_300_no_overlap,PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement,45650,153,88,69,0.7840909090909091
train,fixed_300_no_overlap,"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2",1185,4,13,11,0.8461538461538461
train,fixed_300_no_overlap,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,9075,31,48,43,0.8958333333333334
train,fixed_300_no_overlap,LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT,3207,11,19,18,0.9473684210526315
train,fixed_300_no_overlap,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4,756,3,12,11,0.9166666666666666
train,fixed_300_no_overlap,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,17487,59,56,42,0.75
train,fixed_300_no_overlap,"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement",45577,152,66,57,0.8636363636363636
train,fixed_300_no_overlap,"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT",5973,20,18,16,0.8888888888888888
train,fixed_300_no_overlap,"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT",15468,52,35,28,0.8
train,fixed_300_no_overlap,EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,4580,16,30,27,0.9
train,fixed_300_no_overlap,"Sonos, Inc. - Manufacturing Agreement ",17177,58,53,44,0.8301886792452831
train,fixed_300_no_overlap,"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",3589,12,27,24,0.8888888888888888
train,fixed_300_no_overlap,LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT,3023,11,11,11,1.0
train,fixed_300_no_overlap,"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT",875,3,9,8,0.8888888888888888
train,fixed_300_no_overlap,HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT,5290,18,30,25,0.8333333333333334
train,fixed_300_no_overlap,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,23663,79,86,70,0.813953488372093
train,fixed_300_no_overlap,ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement,17207,58,26,22,0.8461538461538461
train,fixed_300_no_overlap,"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT",4177,14,12,12,1.0
train,fixed_300_no_overlap,BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT,201,1,6,6,1.0
train,fixed_300_no_overlap,ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION AGREEMENT,5202,18,18,14,0.7777777777777778
train,fixed_300_no_overlap,WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT,4602,16,32,26,0.8125
train,fixed_300_no_overlap,LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement,2899,10,32,28,0.875
train,fixed_300_no_overlap,SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT,13201,45,29,25,0.8620689655172413
train,fixed_300_no_overlap,CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement,2664,9,13,13,1.0
train,fixed_300_no_overlap,"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part1",4014,14,20,17,0.85
train,fixed_300_no_overlap,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement,13370,45,70,63,0.9
train,fixed_300_no_overlap,AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT,5607,19,16,16,1.0
train,fixed_300_no_overlap,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT,8499,29,30,26,0.8666666666666667
